id,x,y,z,r
568,-32705,-70069,122.4,3.6
569,-31577,-71983,28.0,4.1
570,-34948,-70829,116.1,3.8
571,-28884,-68640,201.3,4.1
572,-32915,-71362,48.7,3.3
573,-31885,-70994,93.2,3.9
574,-32480,-71839,31.2,3.6
575,-32059,-71190,42.9,3.3
576,-29881,-71760,51.5,4.1
577,-31863,-69057,238.3,3.9
578,-31923,-71360,39.0,3.5
579,-32449,-71882,10.8,3.7
580,-33473,-70534,97.5,3.2
581,-34341,-70363,123.8,2.8
582,-34128,-68480,47.5,4.7
583,-32708,-70294,98.5,3.3
584,-30327,-71510,45.3,4.0
585,-32064,-71188,47.0,3.4
586,-35055,-71173,99.7,4.0
587,-34566,-71713,44.4,3.8
588,-32743,-70815,74.7,3.9
589,-31640,-67831,230.3,4.4
590,-34742,-72125,51.2,4.0
591,-31289,-70474,144.0,3.6
592,-33203,-70361,102.2,2.7
593,-36744,-71883,92.5,3.6
594,-33088,-70306,117.6,3.5
595,-32751,-70606,47.1,3.6
596,-35691,-71438,85.0,2.9
597,-30637,-71933,17.5,4.5
598,-31028,-69330,228.9,3.9
599,-32653,-71660,6.9,4.0
600,-30047,-71556,44.2,4.3
601,-32237,-69831,147.7,2.9
602,-36326,-70910,195.0,2.5
603,-34480,-70631,117.2,3.2
604,-31840,-69929,148.4,3.0
605,-34496,-71890,37.0,3.7
606,-31366,-69887,171.0,3.6
607,-32693,-71821,8.8,4.3
608,-32815,-69191,199.5,3.9
609,-28054,-67474,240.0,4.1
610,-35162,-72158,57.9,3.6
611,-36340,-72604,47.6,4.0
612,-35297,-71065,108.1,3.6
613,-32459,-71517,15.6,3.4
614,-32031,-71491,47.6,3.8
615,-33455,-70707,90.4,3.3
616,-31934,-70334,129.0,3.7
617,-32554,-70893,72.7,3.2
618,-31648,-72124,19.4,4.3
619,-28494,-71408,23.7,4.4
620,-30634,-71853,47.3,4.6
621,-31815,-69878,137.3,3.1
622,-32481,-71905,23.7,4.0
623,-31603,-70174,154.5,3.9
624,-30214,-72634,33.4,4.6
625,-33405,-70388,104.2,2.8
626,-32712,-71759,9.9,3.7
627,-32715,-71739,8.2,3.8
628,-33917,-70264,115.3,4.3
629,-34309,-68848,4.0,4.5
630,-32073,-70257,113.6,3.6
631,-33042,-71817,38.1,3.1
632,-32450,-71038,80.9,3.9
633,-32130,-71143,70.8,2.6
634,-34734,-70803,109.1,3.0
635,-30736,-71304,87.2,3.9
636,-31659,-69539,12.8,4.5
637,-31684,-69601,1.5,4.3
638,-37064,-72082,164.4,3.9
639,-34017,-71265,58.4,3.6
640,-32357,-71862,6.3,4.2
641,-30932,-71392,43.6,4.0
642,-34549,-71072,91.6,3.5
643,-30533,-72294,24.9,4.5
644,-33715,-69905,1.6,3.7
645,-31561,-69566,213.5,4.4
646,-31146,-71885,32.0,4.0
647,-31541,-71394,20.2,3.8
648,-32603,-71683,4.9,3.8
649,-33132,-70009,114.0,3.0
650,-32253,-70404,5.6,3.6
651,-34445,-70687,97.5,3.3
652,-32780,-70285,111.3,2.5
653,-33777,-70606,81.3,3.4
654,-34581,-70947,85.2,3.3
655,-32702,-71770,22.0,4.1
656,-31923,-71812,6.6,4.0
657,-32399,-71728,40.1,3.9
658,-34692,-71950,12.0,3.8
659,-32347,-71601,40.9,4.0
660,-33896,-70360,118.6,3.4
661,-34799,-72577,19.0,4.0
662,-34319,-70872,92.3,2.9
663,-30519,-71493,57.1,3.9
664,-33182,-70173,109.0,3.7
665,-32555,-71838,56.3,3.7
666,-34339,-70335,112.1,3.6
667,-32311,-71327,115.0,4.2
668,-32342,-71813,16.2,4.0
669,-32736,-71093,51.3,3.7
670,-32990,-71667,9.1,3.8
671,-35753,-73061,9.1,4.2
672,-33025,-71641,0.0,3.8
673,-33365,-70153,9.4,4.3
674,-33909,-70342,119.6,4.2
675,-32904,-71652,7.3,3.9
676,-32728,-71858,0.0,4.2
677,-34301,-70567,98.3,3.8
678,-32307,-71903,18.8,4.2
679,-32548,-71549,45.3,3.7
680,-33431,-70459,98.2,3.8
681,-31288,-69200,141.7,4.3
682,-32380,-69891,134.4,3.8
683,-34372,-70062,123.6,3.8
684,-32835,-71659,0.0,3.8
685,-31761,-70756,105.7,4.2
686,-27245,-70778,73.9,4.8
687,-35017,-71065,100.0,3.6
688,-32057,-71950,13.1,4.7
689,-32060,-71931,19.9,4.6
690,-34326,-70196,6.3,3.3
691,-32257,-71493,59.3,4.3
692,-32680,-71640,5.3,3.6
693,-34111,-71571,48.2,3.1
694,-35218,-71198,93.0,3.6
695,-34027,-71431,43.1,3.4
696,-31221,-68582,257.9,4.4
697,-31564,-69753,158.7,4.3
698,-32892,-71040,58.9,3.8
699,-32250,-71721,3.1,4.0
700,-34010,-72345,6.5,4.4
701,-32302,-71740,22.5,4.4
702,-33998,-72237,2.3,3.8
703,-34011,-72236,2.5,4.0
704,-34014,-72324,0.6,3.7
705,-32610,-71839,35.7,3.9
706,-32788,-71182,50.7,3.8
707,-34512,-70706,109.2,4.1
708,-31824,-71097,87.3,3.8
709,-32049,-70555,103.9,4.2
710,-32875,-68679,8.2,4.2
711,-35752,-71791,7.0,3.8
712,-30292,-72210,15.1,4.7
713,-31686,-72249,19.9,4.3
714,-31367,-69663,152.1,4.2
715,-31630,-72013,0.8,4.2
716,-32780,-71028,69.7,3.7
717,-33319,-70192,102.2,3.3
718,-31653,-68794,232.8,4.3
719,-32745,-70791,81.4,3.5
720,-35310,-71195,112.0,3.5
721,-33925,-70290,116.5,3.7
722,-34830,-69798,0.0,3.8
723,-31657,-71796,47.4,3.9
724,-32586,-71710,9.7,4.0
725,-33394,-71540,49.6,4.1
726,-29643,-71203,31.8,4.4
727,-32507,-71761,25.9,3.9
728,-32836,-70768,77.5,4.0
729,-32588,-70778,79.8,3.3
730,-33414,-70534,90.5,3.4
731,-31311,-71909,25.5,4.3
732,-31300,-71906,13.8,4.3
733,-34449,-71147,71.4,3.4
734,-33660,-71133,64.6,3.3
735,-31697,-70457,0.0,4.4
736,-34654,-71317,78.0,3.7
737,-33344,-72036,15.0,4.0
738,-31155,-69589,180.2,4.7
739,-34515,-70454,126.2,3.5
740,-34794,-72164,12.1,4.3
741,-31675,-69904,151.6,3.8
742,-33899,-70223,116.1,3.6
743,-33372,-70116,4.9,3.5
744,-34044,-70186,111.9,3.5
745,-33486,-68714,0.0,4.0
746,-33232,-69201,15.0,4.2
747,-34472,-70396,4.3,3.7
748,-33962,-70379,114.1,3.6
749,-33028,-70314,108.5,3.5
750,-34037,-70145,4.4,3.7
751,-32263,-71828,15.2,4.0
752,-34975,-70769,120.7,3.5
753,-32640,-71650,15.0,3.6
754,-33935,-68481,0.0,4.1
755,-31489,-70973,39.0,4.2
756,-32358,-71757,9.9,4.3
757,-33356,-70384,92.8,3.4
758,-32979,-70178,118.0,3.5
759,-32788,-72157,30.3,3.8
760,-34648,-71259,64.5,3.2
761,-32501,-68223,260.2,4.6
762,-35834,-73743,55.0,3.8
763,-32847,-71134,57.9,3.7
764,-31020,-71183,54.7,4.2
765,-32461,-72058,21.0,4.0
766,-33681,-70242,109.4,4.0
767,-29268,-71299,54.3,4.9
768,-33745,-71421,47.3,4.1
769,-29667,-71276,37.4,4.2
770,-32288,-71859,0.0,4.3
771,-33578,-69986,1.6,3.4
772,-31740,-70302,129.2,3.5
773,-36058,-71456,105.2,3.7
